RowOrder,ID,Name,ShortName,CateID,IndexNo,Description,AddID,AddDate,EditID,EditDate
102,06,สี,สี,NULL,1,,admin,2019-04-21 20:41:44.223,sysupdate,2020-11-18 14:53:50.180
103,08,เครื่องมือช่าง,เครื่องมือ,NULL,2,,admin,2019-04-21 20:41:44.230,sysupdate,2020-11-18 14:53:50.183
104,09,ไฟฟ้า,ไฟฟ้า,NULL,3,,admin,2019-04-21 20:41:44.233,sysupdate,2020-11-18 14:53:50.183
105,10,ไม้ไผ่อัด 3 มิล A,ไม้ไผ่อัด,NULL,4,,admin,2019-04-21 20:41:44.237,sysupdate,2020-11-18 14:53:50.183
106,11,ไม้อัดสัก,ไม้อัด,NULL,5,,admin,2019-04-21 20:41:44.237,sysupdate,2020-11-18 14:53:50.183
107,12,ไม้อัดยาง,ไม้อัด,NULL,6,,admin,2019-04-21 20:41:44.237,sysupdate,2020-11-18 14:53:50.187
108,13,ไม้อัดเคลือบขาว,ไม้อัด,NULL,7,,admin,2019-04-21 20:41:44.240,sysupdate,2020-11-18 14:53:50.187
109,14,ไม้อัดเคลือบลาย,ไม้อัด,NULL,8,,admin,2019-04-21 20:41:44.243,sysupdate,2020-11-18 14:53:50.187
110,15,โฟเมก้า(ลามิเนต),โฟเมฯ,NULL,9,,admin,2019-04-21 20:41:44.247,sysupdate,2020-11-18 14:53:50.187
111,16,ปาติเกิ้ล,ปตก,NULL,10,,admin,2019-04-21 20:41:44.247,sysupdate,2020-11-18 14:53:50.187
112,17,กระดาษดำ,กด,NULL,11,,admin,2019-04-21 20:41:44.250,sysupdate,2020-11-18 14:53:50.187
113,18,ชานอ้อย,ชอ,NULL,12,,admin,2019-04-21 20:41:44.253,sysupdate,2020-11-18 14:53:50.187
114,19,MDF.สัก,MDF,,13,,admin,2019-04-21 20:41:44.257,sysupdate,2020-11-18 14:53:50.187
115,20,MDF.เปลือย,MDF,,14,,admin,2019-04-21 20:41:44.257,sysupdate,2020-11-18 14:53:50.187
116,21,MDF.เคลือบลาย,MDF,,15,,admin,2019-04-21 20:41:44.260,sysupdate,2020-11-18 14:53:50.190
117,22,MDF ปะยาง 2 หน้า,MDF,,16,,admin,2019-04-21 20:41:44.263,sysupdate,2020-11-18 14:53:50.190
118,23,MDF เคลือบขาว,MDF,,17,,admin,2019-04-21 20:41:44.267,sysupdate,2020-11-18 14:53:50.190
119,24,สำหรับลงรายการสินค้าต่างๆ,อื่นๆ,NULL,18,,admin,2019-04-21 20:41:44.267,sysupdate,2020-11-18 14:53:50.190
218,25,,,NULL,1,,sysinsert,2020-10-14 16:12:48.247,sysupdate,2020-11-18 14:53:50.190
219,26,,,NULL,2,,sysinsert,2020-10-14 16:12:48.270,sysupdate,2020-11-18 14:53:50.190
220,27,,,NULL,3,,sysinsert,2020-10-14 16:12:48.270,sysupdate,2020-11-18 14:53:50.193
221,28,,,NULL,4,,sysinsert,2020-10-14 16:12:48.273,sysupdate,2020-11-18 14:53:50.193
222,29,,,NULL,5,,sysinsert,2020-10-14 16:12:48.273,sysupdate,2020-11-18 14:53:50.193
125,30,ประตูอัดลามิเนต,ปมลน,NULL,24,,admin,2019-04-21 20:41:44.280,sysupdate,2020-11-18 14:53:50.193
