RowOrder,DocNo,DocDate,DocType,RefNo,RefDate,PoNo,Status,TaxType,ApID,ApName,Credit,DueDate,CompleteDate,PayType,TotalAmt,DiscountText,DiscountAmt,BefoeTaxAmt,TaxAmt,TaxRate,NetAmt,RemainAmt,Description,CreateBy,CreateDate,CancelBy,CancelDate,AddID,AddDate,EditID,EditDate
3000,GR0000245,2018-03-31 12:04:21.000,9,,2018-03-01 00:00:00.000,RR5515565,1,1,H04A,เหล็กน้ำหนึ่ง วัสดุภัณฑ์ (ฝากขาย),0,2018-04-05 00:00:00.000,NULL,2,76397.81,,0,76397.81,0,0,76397.81,76397.81,,HDACC,2018-03-31 12:04:21.000,NULL,NULL,sysinsert,2020-07-03 12:04:21.023,sysupdate,2020-07-03 12:04:21.023
977,GR0000259,2019-02-12 11:59:51.000,9,,2019-02-01 00:00:00.000,RR55154791,1,1,H04A,เหล็กน้ำหนึ่ง วัสดุภัณฑ์ (ฝากขาย),0,2019-02-12 00:00:00.000,2019-02-12 00:00:00.000,2,1900.12,,0,1900.12,0,0,1900.12,1900.12,,HDACC,2019-02-12 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.607,sysupdate,2020-09-07 17:15:03.980
978,GR0000260,2019-06-18 11:59:51.000,9,,2019-06-01 00:00:00.000,RR0000000,1,1,T003,ทริปเปิ้ล เอ บอร์ด จำกัด,0,2019-06-18 00:00:00.000,2019-11-07 00:00:00.000,2,124500,,0,124500,0,0,124500,124500,,HDACC,2019-06-18 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.620,sysupdate,2020-09-07 17:15:03.983
979,GR0000261,2019-07-22 11:59:51.000,9,,2019-07-01 00:00:00.000,RR5518398,1,1,T003,ทริปเปิ้ล เอ บอร์ด จำกัด,0,2019-07-22 00:00:00.000,2019-07-22 00:00:00.000,2,35100,,0,35100,0,0,35100,35100,,HDACC,2019-07-22 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.623,sysupdate,2020-09-07 17:15:03.987
980,GR0000262,2019-07-26 11:59:51.000,9,,2019-07-01 00:00:00.000,RR5518398,1,1,T003,ทริปเปิ้ล เอ บอร์ด จำกัด,0,2019-08-08 00:00:00.000,2019-07-26 00:00:00.000,2,105000,,0,105000,0,0,105000,105000,,ACCST,2019-07-26 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.627,sysupdate,2020-09-07 17:15:03.993
981,GR0000263,2019-09-21 11:59:51.000,9,,2019-09-01 00:00:00.000,RR55154791,1,1,H04A,เหล็กน้ำหนึ่ง วัสดุภัณฑ์ (ฝากขาย),0,2019-09-21 00:00:00.000,2019-09-21 00:00:00.000,2,45963,,0,45963,0,0,45963,45963,,HDACC,2019-09-21 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.633,sysupdate,2020-09-07 17:15:04.020
982,GR0000264,2019-09-30 11:59:51.000,9,,2019-09-01 00:00:00.000,RR5518635,1,1,T003,ทริปเปิ้ล เอ บอร์ด จำกัด,0,2019-09-30 00:00:00.000,2019-09-30 00:00:00.000,2,6848,,0,6848,0,0,6848,6848,,HDACC,2019-09-30 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.700,sysupdate,2020-09-07 17:15:04.027
983,GR0000265,2019-11-14 11:59:51.000,9,,2019-11-01 00:00:00.000,RR6210034,1,1,C25,ซีไอเอ คอร์เปอเรชั่น จำกัด,0,2019-11-14 00:00:00.000,2019-11-14 00:00:00.000,2,25347.61,,0,25347.61,0,0,25347.61,25347.61,,HDACC,2019-11-14 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.733,sysupdate,2020-09-07 17:15:04.030
984,GR0000266,2019-11-30 11:59:51.000,9,5519002,2019-11-01 00:00:00.000,RR5519002,1,1,P24,พิธิวัฒน์,0,2019-11-30 00:00:00.000,2019-11-30 00:00:00.000,2,41500,,0,41500,0,0,41500,41500,,ACCST,2019-11-30 11:59:51.000,NULL,NULL,sysinsert,2020-07-03 11:59:51.767,sysupdate,2020-09-07 17:15:04.080
1,GR0000267,2020-01-08 06:02:11.000,9,,2020-01-01 00:00:00.000,,1,1,H04A,เหล็กน้ำหนึ่ง วัสดุภัณฑ์ (ฝากขาย),0,2020-01-08 00:00:00.000,NULL,2,258226.51,,0,258226.51,0,0,258226.51,258226.51,,HDACC,2020-01-08 06:02:11.000,NULL,NULL,sysinsert,2020-07-02 06:02:11.723,sysupdate,2020-07-02 06:02:11.737
