RowOrder,DocNo,SequenNo,ItemID,ItemName,UnitID,StockID,Price,Qty,DiscountText,DiscountAmt,TotalAmt,Description,AddID,AddDate,EditID,EditDate
1,GR0000267,1,LNN01BSM2-F,LNN ปป.คาดน้ำเงิน 02" F,สน,01,587.35,3,0.01,0.01,1762.04,NULL,sysinsert,2020-07-02 06:02:11.727,sysupdate,2020-07-02 06:02:11.727
2,GR0000267,2,LNN01BSM2-TUS,LNN ปป.คาดน้ำเงิน 02" TUS,สน,01,900.06,53,,0,47703.18,NULL,sysinsert,2020-07-02 06:02:11.733,sysupdate,2020-07-02 06:02:11.733
3,GR0000267,3,LNN01BSM2-USC,LNN ปป.คาดน้ำเงิน 02" USC,สน,01,677.19,20,0.12,0.12,13543.68,NULL,sysinsert,2020-07-02 06:02:11.733,sysupdate,2020-07-02 06:02:11.733
4,GR0000267,4,LNN01BSM3-TUS,LNN ปป.คาดน้ำเงิน 03" TUS,สน,01,1524.42,54,0.18,0.18,82318.5,NULL,sysinsert,2020-07-02 06:02:11.733,sysupdate,2020-07-02 06:02:11.733
5,GR0000267,5,LNN01BSM4-TUS,LNN ปป.คาดน้ำเงิน 4" TUS,สน,01,2302.53,13,0.12,0.12,29932.77,NULL,sysinsert,2020-07-02 06:02:11.733,sysupdate,2020-07-02 06:02:11.733
6,GR0000267,6,LNN01BSS3-SSH,LNN ปป.คาดเหลือง 3" SSH,สน,01,976.08,85,0.46,0.46,82966.34,NULL,sysinsert,2020-07-02 06:02:11.737,sysupdate,2020-07-02 06:02:11.737
7,GR0000268,1,LNN01BSM1-F,LNN ปป.คาดน้ำเงิน 01" F,สน,01,379.44,20,0.10,0.1,7588.7,NULL,sysinsert,2020-07-02 06:02:11.767,sysupdate,2020-07-02 06:02:11.767
8,GR0000268,2,LNN01BSM1-TUS,LNN ปป.คาดน้ำเงิน 01" TUS,สน,01,461.03,460,3.19,3.19,212070.61,NULL,sysinsert,2020-07-02 06:02:11.767,sysupdate,2020-07-02 06:02:11.767
9,GR0000268,3,LNN01BSM1P1X2-TUS,LNN ปป.คาดน้ำเงิน 1.1/2" TUS,สน,01,652.13,123,0.77,0.77,80211.22,NULL,sysinsert,2020-07-02 06:02:11.767,sysupdate,2020-07-02 06:02:11.767
10,GR0000268,4,LNN01BSM1P1X2-USC,LNN ปป.คาดน้ำเงิน 1.1/2" USC,สน,01,561.1,157,0.31,0.31,88092.39,NULL,sysinsert,2020-07-02 06:02:11.770,sysupdate,2020-07-02 06:02:11.770
