RowOrder,ID,Barcode,Status,IsShow,Name,Name2,ShortName,StockID,GroupID,UnitID,PurchaseUnitID,ApID,Cost,Price,StockQty,StockValue,StockMax,StockMin,ROP,EOQ,SafetyQty,Weight,Thick,LastSellPrice,LastsellDate,LastBuyPrice,LastBuyDate,Picture,Description,AddID,AddDate,EditID,EditDate
1,01A10-4P5,01A10-4P5,1,1,ท่อดำ 10*4.5 มิล,ท่อดำ 10*4.5 มิล,NULL,01,C,สน,NULL,,0,5815.45,0,0,0,0,0,NULL,NULL,NULL,NULL,5815.45,2016-02-19 00:00:00.000,5809.03,2016-02-13 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.227,sysupdate,2020-07-24 08:26:20.437
2,01A1-1P2,01A1-1P2,1,1,ท่อดำ 1*1.2 มิล (ขาว),ท่อดำ 1*1.2 มิล (ขาว),NULL,01,C,สน,NULL,,119.99,180,338,40555.23,0,1000,0,NULL,NULL,NULL,NULL,180,2021-01-16 00:00:00.000,117.62,2020-09-12 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.180,sysupdate,2021-01-16 19:17:52.047
3,01A1-1P5,01A1-1P5,1,1,ท่อดำ 1*1.5 มิล (น้ำเงิน),ท่อดำ 1*1.5 มิล (น้ำเงิน),NULL,01,C,สน,NULL,,152.41,175,185,28195.92,0,0,0,NULL,NULL,NULL,NULL,175,2021-01-06 00:00:00.000,178,2021-01-09 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.203,sysupdate,2021-01-09 19:09:43.680
4,01A1-1P8,01A1-1P8,1,1,ท่อดำ 1*1.8 มิล (ชมพู),ท่อดำ 1*1.8 มิล (ชมพู),NULL,01,C,สน,NULL,,160.31,225,187,29978.35,0,285,0,NULL,NULL,NULL,NULL,225,2021-01-21 00:00:00.000,165,2020-12-01 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.207,sysupdate,2021-01-21 19:04:10.757
5,01A1-1X2#40,01A1-1X2#40,1,1,ท่ออัดแรงดัน 1.1/2#40 หนา 4-5 มิล,ท่ออัดแรงดัน 1.1/2#40 หนา 4-5 มิล,NULL,01,55,สน,NULL,,0,980,0,0,0,0,0,NULL,NULL,NULL,NULL,980,2013-08-09 00:00:00.000,821,2013-08-09 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.210,admin,2019-04-21 22:28:02.210
6,01A1-2,01A1-2,1,1,ท่อดำ 1*2.0 มิล (แดง),ท่อดำ 1*2.0 มิล (แดง),NULL,01,C,สน,NULL,,185.42,195,10,1854.18,0,0,0,NULL,NULL,NULL,NULL,195,2020-11-27 00:00:00.000,180,2020-11-21 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.210,sysupdate,2020-11-27 19:09:54.483
7,01A12-5P5,01A12-5P5,1,1,ท่อดำ 12*5.5 มิล,ท่อดำ 12*5.5 มิล,NULL,01,C,สน,NULL,,0,12037.5,0,0,0,0,0,NULL,NULL,NULL,NULL,12037.5,2016-02-19 00:00:00.000,11984,2016-02-13 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.230,sysupdate,2020-07-24 08:26:20.440
8,01A1-2P3,01A1-2P3,1,1,ท่อดำ 1*2.3 มิล (ทอง),ท่อดำ 1*2.3 มิล (ทอง),NULL,01,C,สน,NULL,,214.11,260,155,33187.72,0,0,0,NULL,NULL,NULL,NULL,260,2020-12-07 00:00:00.000,227,2020-12-01 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.213,sysupdate,2020-12-07 19:10:06.687
9,01A1-2P5,01A1-2P5,1,1,ท่อดำ 1*2.5 มิล (ทอง),ท่อดำ 1*2.5 มิล (ทอง),NULL,01,C,สน,NULL,,0,240,0,0,0,0,0,NULL,NULL,NULL,NULL,240,2016-11-08 00:00:00.000,228,2016-11-07 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.217,sysupdate,2020-07-24 08:26:20.433
10,01A1-3P0,01A1-3P0,1,1,ท่อดำ 1*3.0 มิล,ท่อดำ 1*3.0 มิล,NULL,01,C,สน,NULL,,234,280,0,0,0,0,0,NULL,NULL,NULL,NULL,280,2020-10-02 00:00:00.000,234,2020-09-30 00:00:00.000,default.png,,admin,2019-04-21 22:28:02.217,sysupdate,2020-10-02 19:32:18.960
