RowOrder,DocNo,SequenNo,ItemID,ItemName,UnitID,StockID,Price,Cost,Qty,RQty,RID,RDate,DlvDate,CQty,CID,CDate,ApID,TrackDate,DiscountText,DiscountAmt,TotalAmt,Description,AddID,AddDate,EditID,EditDate
248478,SO5644315,11,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ1มัด,สน,01,110,NULL,200,0,,NULL,2021-01-04 00:00:00.000,0,,NULL,,NULL,,0,22000,,sysinsert,2021-01-04 08:36:56.037,sysupdate,2021-01-04 19:57:04.813
248573,SO5644338,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,114,NULL,5,0,,NULL,2021-01-04 00:00:00.000,0,,NULL,,NULL,,0,570,,sysinsert,2021-01-04 10:07:11.333,sysupdate,2021-01-04 19:57:05.543
248576,QT0006355,3,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-,สน,,110,NULL,1,1,,NULL,2021-02-03 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-04 10:22:13.497,sysupdate,2021-01-04 10:52:20.917
248607,SO5644344,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,109,NULL,1,0,,NULL,2021-01-04 00:00:00.000,0,,NULL,,NULL,,0,109,,sysinsert,2021-01-04 10:52:22.543,sysupdate,2021-01-04 19:57:05.707
248823,SO5644380,8,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,30,0,,NULL,2021-01-04 00:00:00.000,30,,2021-01-05 00:00:00.000,,NULL,,0,3300,,sysinsert,2021-01-04 14:38:39.687,sysupdate,2021-01-05 19:46:58.133
248999,SO5644391,6,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ1มัด,สน,01,110,NULL,200,0,,NULL,2021-01-04 00:00:00.000,0,,NULL,,NULL,,0,22000,,sysinsert,2021-01-04 16:24:54.787,sysupdate,2021-01-04 19:57:07.103
249035,QT0006373,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,,110,NULL,30,30,,NULL,2021-02-03 00:00:00.000,0,,NULL,,NULL,,0,3300,,sysinsert,2021-01-04 16:55:09.323,sysupdate,2021-01-06 11:47:47.977
249059,QT0006374,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/มอก. 4.99+-,สน,,110,NULL,380,380,,NULL,2021-01-06 00:00:00.000,0,,NULL,,NULL,,0,41800,,sysinsert,2021-01-04 17:10:18.827,sysupdate,2021-01-04 19:57:03.397
249063,QT0006375,3,01SR09M-4P99,เหล็กเส้น 09 มิล  (มอก) พับ 4.99+-,สน,,109,NULL,400,400,,NULL,2021-02-03 00:00:00.000,0,,NULL,,NULL,,0,43600,,sysinsert,2021-01-04 17:10:18.863,sysupdate,2021-01-04 17:10:18.863
249297,QT0006377,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ10ม4.99+-,สน,,112,NULL,5,5,,NULL,2021-02-19 00:00:00.000,0,,NULL,,NULL,,0,560,,sysinsert,2021-01-05 09:27:23.343,sysupdate,2021-01-06 10:47:32.853
249313,QT0006380,2,01SR09M-4P99,เหล็กเส้น 09 มิลJ(ทอง) พับ4.99+-มัดละ200ส,สน,,110,NULL,1,1,,NULL,2021-01-12 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-05 09:42:26.160,sysupdate,2021-01-05 09:42:26.160
249329,SO5644407,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,100,0,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,11000,,sysinsert,2021-01-05 09:42:26.800,sysupdate,2021-01-06 19:51:44.387
249338,QT0006381,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ2มัด,สน,,110,NULL,400,400,,NULL,2021-02-04 00:00:00.000,0,,NULL,,NULL,,0,44000,,sysinsert,2021-01-05 10:12:32.403,sysupdate,2021-01-05 10:12:32.403
249366,SO5644416,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ2มัด,สน,01,110,NULL,400,0,02,2021-01-05 14:34:00.000,2021-01-05 00:00:00.000,0,,NULL,NULL,2021-01-07 00:00:00.000,,0,44000,NULL,sysinsert,2021-01-05 10:57:43.523,sysupdate,2021-01-06 19:51:44.443
249438,QT0006383,7,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,,112,NULL,100,100,,NULL,2021-01-12 00:00:00.000,0,,NULL,,NULL,,0,11200,,sysinsert,2021-01-05 11:58:02.803,sysupdate,2021-01-05 11:58:02.803
249457,SO5644424,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,50,0,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,5500,,sysinsert,2021-01-05 12:13:08.417,sysupdate,2021-01-08 16:48:28.117
249496,SO5644428,7,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,112,NULL,100,100,02,2021-01-05 14:37:00.000,2021-01-05 00:00:00.000,0,,NULL,NULL,NULL,,0,11200,NULL,sysinsert,2021-01-05 13:13:25.253,Was,2021-01-05 14:32:58.557
249502,SO5644429,3,01SR09M-4P99,เหล็กเส้น 09 มิล  (มอก) พับ 4.99+-,สน,01,109,NULL,400,400,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,43600,,sysinsert,2021-01-05 13:13:25.307,sysupdate,2021-01-05 13:13:25.307
249523,SO5644430,4,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,50,0,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,5500,,sysinsert,2021-01-05 13:28:29.950,sysupdate,2021-01-05 19:46:59.353
249617,SO5644443,3,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,50,0,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,5500,,sysinsert,2021-01-05 14:59:02.820,sysupdate,2021-01-07 14:42:29.697
249644,QT0006391,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-/10ม,สน,,110,NULL,30,30,,NULL,2021-03-06 00:00:00.000,0,,NULL,,NULL,,0,3300,,sysinsert,2021-01-05 15:29:13.297,sysupdate,2021-01-05 15:29:13.297
